OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000026,
       ref        average:,0.000000035,
       cpu          kbest:,0.003149381,
       cpu        average:,0.003151299,
    getpid          kbest:,0.000000220,
    getpid        average:,0.000000256,
context siwtch          kbest:,0.000004002,
context siwtch        average:,0.000004396,
      send          kbest:,0.000000287,
      send        average:,0.000000731,
      recv          kbest:,0.000000438,
      recv        average:,0.000000579,
  big send          kbest:,0.000000493,
  big send        average:,0.000001015,
  big recv          kbest:,0.000000609,
  big recv        average:,0.000000953,
      fork          kbest:,0.000163553,
      fork       average:,0.000200642,
      fork    Child kbest:,0.000235701,
      fork Child average:,0.000296994,
thr create          kbest:,0.000007010,
thr create       average:,0.000011892,
thr create    Child kbest:,0.000010635,
thr create Child average:,0.000017420,
  big fork          kbest:,0.001727492,
  big fork       average:,0.003335148,
  big fork    Child kbest:,0.001848816,
  big fork Child average:,0.003471684,
 huge fork          kbest:,0.003701647,
 huge fork       average:,0.005973439,
 huge fork    Child kbest:,0.003881261,
 huge fork Child average:,0.006118821,
small write          kbest:,0.000000964,
small write        average:,0.000001163,
small read          kbest:,0.000000426,
small read        average:,0.000000440,
small mmap          kbest:,0.000000565,
small mmap        average:,0.000000581,
small munmap          kbest:,0.000000961,
small munmap        average:,0.000001000,
small page fault          kbest:,0.000000820,
small page fault        average:,0.000000841,
 mid write          kbest:,0.000006009,
 mid write        average:,0.000006251,
  mid read          kbest:,0.000002295,
  mid read        average:,0.000002379,
  mid mmap          kbest:,0.000000550,
  mid mmap        average:,0.000000573,
mid munmap          kbest:,0.000004129,
mid munmap        average:,0.000004248,
mid page fault          kbest:,0.000001332,
mid page fault        average:,0.000001360,
 big write          kbest:,0.000653620,
 big write        average:,0.000664123,
  big read          kbest:,0.000313140,
  big read        average:,0.000315117,
  big mmap          kbest:,0.000000575,
  big mmap        average:,0.000000593,
big munmap          kbest:,0.000100597,
big munmap        average:,0.000103180,
big page fault          kbest:,0.000001925,
big page fault        average:,0.000002109,
huge write          kbest:,0.013873847,
huge write        average:,0.014522261,
 huge read          kbest:,0.019046617,
 huge read        average:,0.019205534,
 huge mmap          kbest:,0.000000567,
 huge mmap        average:,0.000000589,
huge munmap          kbest:,0.001128450,
huge munmap        average:,0.001187279,
huge page fault          kbest:,0.000001977,
huge page fault        average:,0.000002112,
    select          kbest:,0.000000995,
    select        average:,0.000001098,
      poll          kbest:,0.000000900,
      poll        average:,0.000000983,
     epoll          kbest:,0.000000890,
     epoll        average:,0.000000974,
select big          kbest:,0.000071148,
select big        average:,0.000075706,
  poll big          kbest:,0.000066278,
  poll big        average:,0.000070678,
 epoll big          kbest:,0.000061675,
 epoll big        average:,0.000065774,
