OS Benchmark experiment
Test Name:,4.9.11-cth-defaultnoopt-custom,
       ref          kbest:,0.000000025,
       ref        average:,0.000000035,
       cpu          kbest:,0.003149374,
       cpu        average:,0.003150936,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000078,
context siwtch          kbest:,0.000002106,
context siwtch        average:,0.000002210,
      send          kbest:,0.000000084,
      send        average:,0.000000173,
      recv          kbest:,0.000000067,
      recv        average:,0.000000088,
  big send          kbest:,0.000000109,
  big send        average:,0.000000441,
  big recv          kbest:,0.000000256,
  big recv        average:,0.000000449,
      fork          kbest:,0.000081614,
      fork       average:,0.000164283,
      fork    Child kbest:,0.000112336,
      fork Child average:,0.000235574,
thr create          kbest:,0.000005942,
thr create       average:,0.000013375,
thr create    Child kbest:,0.000008080,
thr create Child average:,0.000017231,
  big fork          kbest:,0.001147799,
  big fork       average:,0.002429125,
  big fork    Child kbest:,0.001238431,
  big fork Child average:,0.002543604,
 huge fork          kbest:,0.004675214,
 huge fork       average:,0.006831953,
 huge fork    Child kbest:,0.004782565,
 huge fork Child average:,0.006957406,
small write          kbest:,0.000000628,
small write        average:,0.000000777,
small read          kbest:,0.000000268,
small read        average:,0.000000472,
small mmap          kbest:,0.000000296,
small mmap        average:,0.000000307,
small munmap          kbest:,0.000000601,
small munmap        average:,0.000000636,
small page fault          kbest:,0.000000485,
small page fault        average:,0.000000497,
 mid write          kbest:,0.000005361,
 mid write        average:,0.000005580,
  mid read          kbest:,0.000002947,
  mid read        average:,0.000003558,
  mid mmap          kbest:,0.000000373,
  mid mmap        average:,0.000000497,
mid munmap          kbest:,0.000002661,
mid munmap        average:,0.000002772,
mid page fault          kbest:,0.000000986,
mid page fault        average:,0.000001002,
 big write          kbest:,0.000619667,
 big write        average:,0.000625556,
  big read          kbest:,0.000324627,
  big read        average:,0.000326185,
  big mmap          kbest:,0.000000300,
  big mmap        average:,0.000000333,
big munmap          kbest:,0.000109463,
big munmap        average:,0.000111416,
big page fault          kbest:,0.000001453,
big page fault        average:,0.000001502,
huge write          kbest:,0.013711889,
huge write        average:,0.014380170,
 huge read          kbest:,0.014061792,
 huge read        average:,0.014171044,
 huge mmap          kbest:,0.000000290,
 huge mmap        average:,0.000000298,
huge munmap          kbest:,0.001333829,
huge munmap        average:,0.001369151,
huge page fault          kbest:,0.000001426,
huge page fault        average:,0.000001459,
    select          kbest:,0.000000482,
    select        average:,0.000000569,
      poll          kbest:,0.000000350,
      poll        average:,0.000000407,
     epoll          kbest:,0.000000378,
     epoll        average:,0.000000448,
select big          kbest:,0.000064347,
select big        average:,0.000069991,
  poll big          kbest:,0.000064872,
  poll big        average:,0.000071049,
 epoll big          kbest:,0.000061396,
 epoll big        average:,0.000069365,
