OS Benchmark experiment
Test Name:,4.9.11-cth-faultaround-custom,
       ref          kbest:,0.000000025,
       ref        average:,0.000000035,
       cpu          kbest:,0.003149374,
       cpu        average:,0.003153437,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002113,
context siwtch        average:,0.000002191,
      send          kbest:,0.000000084,
      send        average:,0.000000196,
      recv          kbest:,0.000000084,
      recv        average:,0.000000132,
  big send          kbest:,0.000000175,
  big send        average:,0.000000408,
  big recv          kbest:,0.000000247,
  big recv        average:,0.000000478,
      fork          kbest:,0.000096293,
      fork       average:,0.000144349,
      fork    Child kbest:,0.000117920,
      fork Child average:,0.000190470,
thr create          kbest:,0.000006613,
thr create       average:,0.000013130,
thr create    Child kbest:,0.000008606,
thr create Child average:,0.000016559,
  big fork          kbest:,0.001137447,
  big fork       average:,0.002473458,
  big fork    Child kbest:,0.001176154,
  big fork Child average:,0.002578414,
 huge fork          kbest:,0.004155910,
 huge fork       average:,0.006921053,
 huge fork    Child kbest:,0.004250538,
 huge fork Child average:,0.007034640,
small write          kbest:,0.000000652,
small write        average:,0.000000797,
small read          kbest:,0.000000253,
small read        average:,0.000000442,
small mmap          kbest:,0.000000305,
small mmap        average:,0.000000330,
small munmap          kbest:,0.000000617,
small munmap        average:,0.000000650,
small page fault          kbest:,0.000000519,
small page fault        average:,0.000000550,
 mid write          kbest:,0.000005032,
 mid write        average:,0.000005539,
  mid read          kbest:,0.000002252,
  mid read        average:,0.000002887,
  mid mmap          kbest:,0.000000300,
  mid mmap        average:,0.000000311,
mid munmap          kbest:,0.000002601,
mid munmap        average:,0.000002709,
mid page fault          kbest:,0.000000524,
mid page fault        average:,0.000000533,
 big write          kbest:,0.000612574,
 big write        average:,0.000654434,
  big read          kbest:,0.000323639,
  big read        average:,0.000325003,
  big mmap          kbest:,0.000000310,
  big mmap        average:,0.000000319,
big munmap          kbest:,0.000109506,
big munmap        average:,0.000110710,
big page fault          kbest:,0.000000659,
big page fault        average:,0.000000682,
huge write          kbest:,0.013694743,
huge write        average:,0.014513854,
 huge read          kbest:,0.012735068,
 huge read        average:,0.015119897,
 huge mmap          kbest:,0.000000296,
 huge mmap        average:,0.000000320,
huge munmap          kbest:,0.001212131,
huge munmap        average:,0.001234747,
huge page fault          kbest:,0.000000781,
huge page fault        average:,0.000000815,
    select          kbest:,0.000000489,
    select        average:,0.000000578,
      poll          kbest:,0.000000353,
      poll        average:,0.000000402,
     epoll          kbest:,0.000000385,
     epoll        average:,0.000000471,
select big          kbest:,0.000065573,
select big        average:,0.000071251,
  poll big          kbest:,0.000064612,
  poll big        average:,0.000070274,
 epoll big          kbest:,0.000060687,
 epoll big        average:,0.000067425,
