OS Benchmark experiment
Test Name:,4.9.11-cth-unset-slabfree-custom,
       ref          kbest:,0.000000025,
       ref        average:,0.000000035,
       cpu          kbest:,0.003149373,
       cpu        average:,0.003152329,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002099,
context siwtch        average:,0.000002199,
      send          kbest:,0.000000087,
      send        average:,0.000000241,
      recv          kbest:,0.000000116,
      recv        average:,0.000000174,
  big send          kbest:,0.000000197,
  big send        average:,0.000000502,
  big recv          kbest:,0.000000311,
  big recv        average:,0.000000481,
      fork          kbest:,0.000084239,
      fork       average:,0.000145330,
      fork    Child kbest:,0.000109533,
      fork Child average:,0.000199687,
thr create          kbest:,0.000006597,
thr create       average:,0.000013265,
thr create    Child kbest:,0.000009225,
thr create Child average:,0.000016779,
  big fork          kbest:,0.001126854,
  big fork       average:,0.002076120,
  big fork    Child kbest:,0.001084111,
  big fork Child average:,0.002190955,
 huge fork          kbest:,0.003262862,
 huge fork       average:,0.004460395,
 huge fork    Child kbest:,0.003045043,
 huge fork Child average:,0.004588208,
small write          kbest:,0.000000626,
small write        average:,0.000000776,
small read          kbest:,0.000000245,
small read        average:,0.000000428,
small mmap          kbest:,0.000000298,
small mmap        average:,0.000000313,
small munmap          kbest:,0.000000579,
small munmap        average:,0.000000623,
small page fault          kbest:,0.000000483,
small page fault        average:,0.000000502,
 mid write          kbest:,0.000005349,
 mid write        average:,0.000005516,
  mid read          kbest:,0.000002259,
  mid read        average:,0.000002877,
  mid mmap          kbest:,0.000000292,
  mid mmap        average:,0.000000304,
mid munmap          kbest:,0.000002546,
mid munmap        average:,0.000002678,
mid page fault          kbest:,0.000000966,
mid page fault        average:,0.000000998,
 big write          kbest:,0.000606665,
 big write        average:,0.000643130,
  big read          kbest:,0.000331808,
  big read        average:,0.000334614,
  big mmap          kbest:,0.000000321,
  big mmap        average:,0.000000330,
big munmap          kbest:,0.000111507,
big munmap        average:,0.000116014,
big page fault          kbest:,0.000001428,
big page fault        average:,0.000001480,
huge write          kbest:,0.013738064,
huge write        average:,0.013864966,
 huge read          kbest:,0.012928932,
 huge read        average:,0.013067980,
 huge mmap          kbest:,0.000000292,
 huge mmap        average:,0.000000303,
huge munmap          kbest:,0.001166057,
huge munmap        average:,0.001183775,
huge page fault          kbest:,0.000001423,
huge page fault        average:,0.000001497,
    select          kbest:,0.000000477,
    select        average:,0.000000531,
      poll          kbest:,0.000000350,
      poll        average:,0.000000437,
     epoll          kbest:,0.000000369,
     epoll        average:,0.000000445,
select big          kbest:,0.000048408,
select big        average:,0.000052067,
  poll big          kbest:,0.000048099,
  poll big        average:,0.000053402,
 epoll big          kbest:,0.000047416,
 epoll big        average:,0.000053791,
