OS Benchmark experiment
Test Name:,4.9.11-cth-unset-slabfree-faultaround-custom,
       ref          kbest:,0.000000025,
       ref        average:,0.000000034,
       cpu          kbest:,0.003149373,
       cpu        average:,0.003151684,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002035,
context siwtch        average:,0.000002284,
      send          kbest:,0.000000087,
      send        average:,0.000000222,
      recv          kbest:,0.000000138,
      recv        average:,0.000000179,
  big send          kbest:,0.000000168,
  big send        average:,0.000000446,
  big recv          kbest:,0.000000308,
  big recv        average:,0.000000474,
      fork          kbest:,0.000074050,
      fork       average:,0.000145740,
      fork    Child kbest:,0.000104316,
      fork Child average:,0.000197545,
thr create          kbest:,0.000006306,
thr create       average:,0.000012753,
thr create    Child kbest:,0.000008453,
thr create Child average:,0.000017065,
  big fork          kbest:,0.000926882,
  big fork       average:,0.002096919,
  big fork    Child kbest:,0.001002514,
  big fork Child average:,0.002200096,
 huge fork          kbest:,0.002731555,
 huge fork       average:,0.004410894,
 huge fork    Child kbest:,0.002837492,
 huge fork Child average:,0.004520180,
small write          kbest:,0.000000613,
small write        average:,0.000000754,
small read          kbest:,0.000000244,
small read        average:,0.000000439,
small mmap          kbest:,0.000000297,
small mmap        average:,0.000000309,
small munmap          kbest:,0.000000584,
small munmap        average:,0.000000681,
small page fault          kbest:,0.000000627,
small page fault        average:,0.000000659,
 mid write          kbest:,0.000005378,
 mid write        average:,0.000005696,
  mid read          kbest:,0.000002257,
  mid read        average:,0.000002884,
  mid mmap          kbest:,0.000000292,
  mid mmap        average:,0.000000313,
mid munmap          kbest:,0.000002521,
mid munmap        average:,0.000002667,
mid page fault          kbest:,0.000000636,
mid page fault        average:,0.000000774,
 big write          kbest:,0.000605954,
 big write        average:,0.000662309,
  big read          kbest:,0.000331976,
  big read        average:,0.000355141,
  big mmap          kbest:,0.000000290,
  big mmap        average:,0.000000300,
big munmap          kbest:,0.000109457,
big munmap        average:,0.000113596,
big page fault          kbest:,0.000000638,
big page fault        average:,0.000000669,
huge write          kbest:,0.013622473,
huge write        average:,0.013806612,
 huge read          kbest:,0.013458139,
 huge read        average:,0.013653986,
 huge mmap          kbest:,0.000000286,
 huge mmap        average:,0.000000294,
huge munmap          kbest:,0.001134430,
huge munmap        average:,0.001165812,
huge page fault          kbest:,0.000000632,
huge page fault        average:,0.000001024,
    select          kbest:,0.000000475,
    select        average:,0.000000628,
      poll          kbest:,0.000000346,
      poll        average:,0.000000375,
     epoll          kbest:,0.000000371,
     epoll        average:,0.000000446,
select big          kbest:,0.000048086,
select big        average:,0.000051468,
  poll big          kbest:,0.000047946,
  poll big        average:,0.000051637,
 epoll big          kbest:,0.000049999,
 epoll big        average:,0.000055923,
