OS Benchmark experiment
Test Name:,4.15.0-118-generic,
       ref          kbest:,0.000000021,
       ref        average:,0.000000023,
       cpu          kbest:,0.002481327,
       cpu        average:,0.002484437,
    getpid          kbest:,0.000000418,
    getpid        average:,0.000000425,
context siwtch          kbest:,0.000004445,
context siwtch        average:,0.000004551,
      send          kbest:,0.000000565,
      send        average:,0.000001368,
      recv          kbest:,0.000000547,
      recv        average:,0.000001179,
  big send          kbest:,0.000000614,
  big send        average:,0.000001671,
  big recv          kbest:,0.000000538,
  big recv        average:,0.000001447,
      fork          kbest:,0.000076686,
      fork       average:,0.000188980,
      fork    Child kbest:,0.000134911,
      fork Child average:,0.000285584,
thr create          kbest:,0.000013783,
thr create       average:,0.000021829,
thr create    Child kbest:,0.000019566,
thr create Child average:,0.000031777,
  big fork          kbest:,0.001484478,
  big fork       average:,0.003192918,
  big fork    Child kbest:,0.001612927,
  big fork Child average:,0.003332771,
 huge fork          kbest:,0.004350419,
 huge fork       average:,0.006933998,
 huge fork    Child kbest:,0.004458234,
 huge fork Child average:,0.007081157,
small write          kbest:,0.000001141,
small write        average:,0.000001204,
small read          kbest:,0.000000651,
small read        average:,0.000000671,
small mmap          kbest:,0.000000804,
small mmap        average:,0.000000834,
small munmap          kbest:,0.000001243,
small munmap        average:,0.000001300,
small page fault          kbest:,0.000000854,
small page fault        average:,0.000000891,
 mid write          kbest:,0.000005931,
 mid write        average:,0.000006117,
  mid read          kbest:,0.000002572,
  mid read        average:,0.000002752,
  mid mmap          kbest:,0.000000795,
  mid mmap        average:,0.000000818,
mid munmap          kbest:,0.000004185,
mid munmap        average:,0.000004304,
mid page fault          kbest:,0.000001342,
mid page fault        average:,0.000001381,
 big write          kbest:,0.000618004,
 big write        average:,0.000622268,
  big read          kbest:,0.000312370,
  big read        average:,0.000314108,
  big mmap          kbest:,0.000000811,
  big mmap        average:,0.000000829,
big munmap          kbest:,0.000090950,
big munmap        average:,0.000092736,
big page fault          kbest:,0.000001896,
big page fault        average:,0.000002402,
huge write          kbest:,0.013848602,
huge write        average:,0.014353205,
 huge read          kbest:,0.018799548,
 huge read        average:,0.020003017,
 huge mmap          kbest:,0.000000794,
 huge mmap        average:,0.000000822,
huge munmap          kbest:,0.000971050,
huge munmap        average:,0.001007291,
huge page fault          kbest:,0.000001905,
huge page fault        average:,0.000002416,
    select          kbest:,0.000001208,
    select        average:,0.000001321,
      poll          kbest:,0.000001102,
      poll        average:,0.000001189,
     epoll          kbest:,0.000001106,
     epoll        average:,0.000001252,
select big          kbest:,0.000095011,
select big        average:,0.000102263,
  poll big          kbest:,0.000095713,
  poll big        average:,0.000103473,
 epoll big          kbest:,0.000097894,
 epoll big        average:,0.000104101,
