OS Benchmark experiment
Test Name:,4.9.11-cth-faultaround-custom,
       ref          kbest:,0.000000025,
       ref        average:,0.000000035,
       cpu          kbest:,0.003149372,
       cpu        average:,0.003151591,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002087,
context siwtch        average:,0.000002179,
      send          kbest:,0.000000087,
      send        average:,0.000000180,
      recv          kbest:,0.000000101,
      recv        average:,0.000000158,
  big send          kbest:,0.000000173,
  big send        average:,0.000000413,
  big recv          kbest:,0.000000271,
  big recv        average:,0.000000463,
      fork          kbest:,0.000101726,
      fork       average:,0.000158784,
      fork    Child kbest:,0.000127683,
      fork Child average:,0.000206878,
thr create          kbest:,0.000006754,
thr create       average:,0.000013314,
thr create    Child kbest:,0.000009752,
thr create Child average:,0.000016957,
  big fork          kbest:,0.001344862,
  big fork       average:,0.002400928,
  big fork    Child kbest:,0.001218783,
  big fork Child average:,0.002498714,
 huge fork          kbest:,0.004416702,
 huge fork       average:,0.007008696,
 huge fork    Child kbest:,0.004514812,
 huge fork Child average:,0.007121457,
small write          kbest:,0.000000638,
small write        average:,0.000000775,
small read          kbest:,0.000000246,
small read        average:,0.000000409,
small mmap          kbest:,0.000000295,
small mmap        average:,0.000000312,
small munmap          kbest:,0.000000603,
small munmap        average:,0.000000630,
small page fault          kbest:,0.000000497,
small page fault        average:,0.000000504,
 mid write          kbest:,0.000005319,
 mid write        average:,0.000005490,
  mid read          kbest:,0.000002249,
  mid read        average:,0.000002884,
  mid mmap          kbest:,0.000000291,
  mid mmap        average:,0.000000297,
mid munmap          kbest:,0.000002536,
mid munmap        average:,0.000002629,
mid page fault          kbest:,0.000000503,
mid page fault        average:,0.000000512,
 big write          kbest:,0.000613293,
 big write        average:,0.000632258,
  big read          kbest:,0.000332032,
  big read        average:,0.000333688,
  big mmap          kbest:,0.000000310,
  big mmap        average:,0.000000317,
big munmap          kbest:,0.000110313,
big munmap        average:,0.000111172,
big page fault          kbest:,0.000000629,
big page fault        average:,0.000000664,
huge write          kbest:,0.013887621,
huge write        average:,0.014148677,
 huge read          kbest:,0.013608417,
 huge read        average:,0.013746115,
 huge mmap          kbest:,0.000000288,
 huge mmap        average:,0.000000312,
huge munmap          kbest:,0.001136699,
huge munmap        average:,0.001152633,
huge page fault          kbest:,0.000000629,
huge page fault        average:,0.000000669,
    select          kbest:,0.000000484,
    select        average:,0.000000547,
      poll          kbest:,0.000000352,
      poll        average:,0.000000440,
     epoll          kbest:,0.000000392,
     epoll        average:,0.000000522,
select big          kbest:,0.000061945,
select big        average:,0.000066161,
  poll big          kbest:,0.000062233,
  poll big        average:,0.000069120,
 epoll big          kbest:,0.000059366,
 epoll big        average:,0.000067279,
