OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000026,
       ref        average:,0.000000035,
       cpu          kbest:,0.003394409,
       cpu        average:,0.003396848,
    getpid          kbest:,0.000000236,
    getpid        average:,0.000000256,
context siwtch          kbest:,0.000004095,
context siwtch        average:,0.000004502,
      send          kbest:,0.000000460,
      send        average:,0.000001272,
      recv          kbest:,0.000001075,
      recv        average:,0.000001744,
  big send          kbest:,0.000009001,
  big send        average:,0.000014402,
  big recv          kbest:,0.000022594,
  big recv        average:,0.000032241,
      fork          kbest:,0.000147341,
      fork       average:,0.000200627,
      fork    Child kbest:,0.000187390,
      fork Child average:,0.000289347,
thr create          kbest:,0.000006770,
thr create       average:,0.000011028,
thr create    Child kbest:,0.000010120,
thr create Child average:,0.000016025,
  big fork          kbest:,0.001426781,
  big fork       average:,0.003250364,
  big fork    Child kbest:,0.001536083,
  big fork Child average:,0.003383091,
 huge fork          kbest:,0.004019643,
 huge fork       average:,0.005955296,
 huge fork    Child kbest:,0.004169345,
 huge fork Child average:,0.006104307,
small write          kbest:,0.000000840,
small write        average:,0.000001001,
small read          kbest:,0.000000447,
small read        average:,0.000000464,
small mmap          kbest:,0.000000584,
small mmap        average:,0.000000598,
small munmap          kbest:,0.000001051,
small munmap        average:,0.000001076,
small page fault          kbest:,0.000000854,
small page fault        average:,0.000000875,
 mid write          kbest:,0.000005969,
 mid write        average:,0.000006086,
  mid read          kbest:,0.000002380,
  mid read        average:,0.000002464,
  mid mmap          kbest:,0.000000571,
  mid mmap        average:,0.000000584,
mid munmap          kbest:,0.000004479,
mid munmap        average:,0.000004557,
mid page fault          kbest:,0.000001386,
mid page fault        average:,0.000001417,
 big write          kbest:,0.000634897,
 big write        average:,0.000638877,
  big read          kbest:,0.000293807,
  big read        average:,0.000295123,
  big mmap          kbest:,0.000000589,
  big mmap        average:,0.000000611,
big munmap          kbest:,0.000106412,
big munmap        average:,0.000107098,
big page fault          kbest:,0.000002019,
big page fault        average:,0.000002067,
huge write          kbest:,0.014612238,
huge write        average:,0.014766275,
 huge read          kbest:,0.019964575,
 huge read        average:,0.020543592,
 huge mmap          kbest:,0.000000584,
 huge mmap        average:,0.000000607,
huge munmap          kbest:,0.001726739,
huge munmap        average:,0.001746975,
huge page fault          kbest:,0.000002026,
huge page fault        average:,0.000002240,
    select          kbest:,0.000001037,
    select        average:,0.000001107,
      poll          kbest:,0.000000938,
      poll        average:,0.000001038,
     epoll          kbest:,0.000000913,
     epoll        average:,0.000000984,
select big          kbest:,0.000072833,
select big        average:,0.000076183,
  poll big          kbest:,0.000068385,
  poll big        average:,0.000071286,
 epoll big          kbest:,0.000062120,
 epoll big        average:,0.000067458,
