OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000026,
       ref        average:,0.000000035,
       cpu          kbest:,0.003394410,
       cpu        average:,0.003396432,
    getpid          kbest:,0.000000235,
    getpid        average:,0.000000256,
context siwtch          kbest:,0.000004065,
context siwtch        average:,0.000004420,
      send          kbest:,0.000000459,
      send        average:,0.000001321,
      recv          kbest:,0.000000956,
      recv        average:,0.000001782,
  big send          kbest:,0.000008300,
  big send        average:,0.000014153,
  big recv          kbest:,0.000021244,
  big recv        average:,0.000031934,
      fork          kbest:,0.000153762,
      fork       average:,0.000182707,
      fork    Child kbest:,0.000207716,
      fork Child average:,0.000264058,
thr create          kbest:,0.000006911,
thr create       average:,0.000011082,
thr create    Child kbest:,0.000010371,
thr create Child average:,0.000015492,
  big fork          kbest:,0.001065518,
  big fork       average:,0.003290274,
  big fork    Child kbest:,0.001120394,
  big fork Child average:,0.003417237,
 huge fork          kbest:,0.002641516,
 huge fork       average:,0.005910572,
 huge fork    Child kbest:,0.002736301,
 huge fork Child average:,0.006051249,
small write          kbest:,0.000000839,
small write        average:,0.000000995,
small read          kbest:,0.000000446,
small read        average:,0.000000476,
small mmap          kbest:,0.000000584,
small mmap        average:,0.000000601,
small munmap          kbest:,0.000000983,
small munmap        average:,0.000001008,
small page fault          kbest:,0.000000854,
small page fault        average:,0.000000881,
 mid write          kbest:,0.000005970,
 mid write        average:,0.000006374,
  mid read          kbest:,0.000002366,
  mid read        average:,0.000002457,
  mid mmap          kbest:,0.000000572,
  mid mmap        average:,0.000000603,
mid munmap          kbest:,0.000004238,
mid munmap        average:,0.000004357,
mid page fault          kbest:,0.000001396,
mid page fault        average:,0.000001431,
 big write          kbest:,0.000635471,
 big write        average:,0.000641786,
  big read          kbest:,0.000294234,
  big read        average:,0.000296149,
  big mmap          kbest:,0.000000572,
  big mmap        average:,0.000000599,
big munmap          kbest:,0.000101546,
big munmap        average:,0.000104866,
big page fault          kbest:,0.000001989,
big page fault        average:,0.000002169,
huge write          kbest:,0.013742337,
huge write        average:,0.013963434,
 huge read          kbest:,0.018391391,
 huge read        average:,0.018519206,
 huge mmap          kbest:,0.000000567,
 huge mmap        average:,0.000000582,
huge munmap          kbest:,0.001140419,
huge munmap        average:,0.001154379,
huge page fault          kbest:,0.000001974,
huge page fault        average:,0.000002170,
    select          kbest:,0.000001027,
    select        average:,0.000001111,
      poll          kbest:,0.000000916,
      poll        average:,0.000000956,
     epoll          kbest:,0.000000907,
     epoll        average:,0.000001068,
select big          kbest:,0.000073192,
select big        average:,0.000079122,
  poll big          kbest:,0.000066617,
  poll big        average:,0.000070042,
 epoll big          kbest:,0.000061649,
 epoll big        average:,0.000065830,
