OS Benchmark experiment
Test Name:,4.9.11-cth-defaultnoopt-custom,
       ref          kbest:,0.000000025,
       ref        average:,0.000000034,
       cpu          kbest:,0.003149373,
       cpu        average:,0.003150749,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002000,
context siwtch        average:,0.000002226,
      send          kbest:,0.000000084,
      send        average:,0.000000193,
      recv          kbest:,0.000000067,
      recv        average:,0.000000088,
  big send          kbest:,0.000000123,
  big send        average:,0.000000425,
  big recv          kbest:,0.000000206,
  big recv        average:,0.000000439,
      fork          kbest:,0.000087290,
      fork       average:,0.000137723,
      fork    Child kbest:,0.000111229,
      fork Child average:,0.000185580,
thr create          kbest:,0.000006232,
thr create       average:,0.000013849,
thr create    Child kbest:,0.000008273,
thr create Child average:,0.000017633,
  big fork          kbest:,0.001045514,
  big fork       average:,0.002465656,
  big fork    Child kbest:,0.001106845,
  big fork Child average:,0.002585059,
 huge fork          kbest:,0.004082037,
 huge fork       average:,0.006831296,
 huge fork    Child kbest:,0.004186544,
 huge fork Child average:,0.006957066,
small write          kbest:,0.000000633,
small write        average:,0.000000766,
small read          kbest:,0.000000244,
small read        average:,0.000000252,
small mmap          kbest:,0.000000300,
small mmap        average:,0.000000326,
small munmap          kbest:,0.000000629,
small munmap        average:,0.000000659,
small page fault          kbest:,0.000000495,
small page fault        average:,0.000000509,
 mid write          kbest:,0.000005356,
 mid write        average:,0.000005514,
  mid read          kbest:,0.000002224,
  mid read        average:,0.000002334,
  mid mmap          kbest:,0.000000300,
  mid mmap        average:,0.000000310,
mid munmap          kbest:,0.000002558,
mid munmap        average:,0.000002697,
mid page fault          kbest:,0.000000977,
mid page fault        average:,0.000000991,
 big write          kbest:,0.000610450,
 big write        average:,0.000630085,
  big read          kbest:,0.000332705,
  big read        average:,0.000334454,
  big mmap          kbest:,0.000000301,
  big mmap        average:,0.000000316,
big munmap          kbest:,0.000112140,
big munmap        average:,0.000113414,
big page fault          kbest:,0.000001464,
big page fault        average:,0.000001505,
huge write          kbest:,0.013784947,
huge write        average:,0.014639110,
 huge read          kbest:,0.014478362,
 huge read        average:,0.014648736,
 huge mmap          kbest:,0.000000289,
 huge mmap        average:,0.000000301,
huge munmap          kbest:,0.001284563,
huge munmap        average:,0.001304503,
huge page fault          kbest:,0.000001450,
huge page fault        average:,0.000001495,
    select          kbest:,0.000000482,
    select        average:,0.000000567,
      poll          kbest:,0.000000351,
      poll        average:,0.000000498,
     epoll          kbest:,0.000000377,
     epoll        average:,0.000000444,
select big          kbest:,0.000064448,
select big        average:,0.000069672,
  poll big          kbest:,0.000064798,
  poll big        average:,0.000069737,
 epoll big          kbest:,0.000061305,
 epoll big        average:,0.000070174,
